question_number,audience,confidence,consistency,question,answer
156,HE,⬘⬘◯,██░,"How do you propagate uncertainty through the QALY flow calculation?",
157,HE,⬘⬘⬘,██░,"Should you do probabilistic sensitivity analysis with this framework?",
158,HE,⬘⬘◯,██░,"What parameters are typically most uncertain?",
159,HE,⬘◯◯,█░░,"How do you handle model uncertainty (not just parameter uncertainty)?",
160,HE,⬘⬘◯,██░,"Does the framework support value of information analysis?",
161,HE,⬘⬘⬘,███,"How is the flow ICER different from the standard ICER?",
162,HE,⬘⬘⬘,███,"What are the units of the flow ICER?",
163,HE,⬘⬘⬘,███,"Can flow ICER be negative? What does that mean?",
164,PM,⬘⬘⬘,██░,"How do you interpret a flow ICER of £20,000 per unit J?",
165,PM,⬘◯◯,█░░,"Should regulators set a threshold for flow ICER?",
166,HE,⬘◯◯,█░░,"How would existing NICE thresholds translate to this framework?",
167,HE,⬘⬘◯,██░,"Does the flow ICER avoid problems with extended dominance?",
168,PM,⬘⬘⬘,███,"How do you assess budget impact using cost flow K(π)?",
169,PM,⬘⬘◯,██░,"Can you use this framework for multi-year budget planning?",
170,PM,⬘⬘⬘,███,"How does K(π) relate to annual health expenditure?",
171,HE,⬘⬘◯,██░,"Does the framework account for capital costs vs. operating costs?",
172,PM,⬘⬘◯,██░,"How do you assign equity weights w_i to different groups?",
173,PH,⬘◯◯,█░░,"Should weights be based on health need, income, or something else?",
174,PH,⬘⬘◯,██░,"How does this relate to the ""fair innings"" argument?",
175,PH,⬘⬘◯,██░,"Can the framework handle intersectional inequalities?",
176,HE,⬘⬘⬘,███,"What if groups have different quality functions q_i(x)?",
177,HE,⬘⬘⬘,███,"What is inequality-averse social welfare and why use concave u?",
178,PH,⬘◯◯,█░░,"How do you choose the social welfare function?",
179,PH,⬘⬘⬘,███,"Can you use Rawlsian maximin with this framework?",
180,PM,⬘⬘⬘,██░,"What is the ""minimum acceptable flow"" constraint and who sets it?",
181,LE,⬘◯◯,█░░,"Is there a human right to a certain QALY flow?",
182,PH,⬘⬘⬘,███,"Does the framework treat current and future generations equally?",
183,HE,⬘⬘◯,██░,"How do you handle population growth in the distributional analysis?",
184,PH,⬘⬘◯,██░,"What if future generations will have different quality functions?",
185,PM,⬘◯◯,█░░,"Does this framework conflict with sustainability considerations?",
186,PH,⬘⬘⬘,██░,"Is the framework committed to welfarism?",
187,PH,⬘⬘◯,██░,"Can the framework accommodate objective list theories of well-being?",
188,PH,⬘⬘◯,██░,"What about preference satisfaction views?",
189,PH,⬘⬘◯,██░,"Does the focus on experience ignore the value of achievements?",
190,PH,⬘◯◯,█░░,"How does this relate to Parfit's work on personal identity?",
191,PH,⬘◯◯,█░░,"If someone is uploaded to a digital substrate, does the framework still apply?",
192,PH,⬘⬘◯,██░,"Does the framework assume psychological continuity theory of identity?",
193,PH,⬘⬘◯,█░░,"What if ""I"" in 200 years is not really ""me""?",
194,PH,⬘◯◯,█░░,"Does extreme longevity create problems for personal identity?",
195,PH,⬘⬘◯,██░,"Should QALYs be discounted for psychological distance?",
196,PH,⬘◯◯,█░░,"How does the framework handle amnesia or major personality changes?",
197,PH,⬘⬘⬘,███,"Does the framework assume life is always preferable to death?",
198,PH,⬘⬘◯,██░,"What about cases where someone rationally prefers death?",
199,LE,⬘⬘◯,██░,"Does the framework respect the ""right to die""?",
200,HE,⬘⬘⬘,███,"How does the framework handle states worse than death?",
201,HE,⬘⬘⬘,███,"Can q(x) be negative?",
202,HE,⬘⬘◯,██░,"What is the implicit value of a statistical life in this framework?",
203,PH,⬘⬘◯,██░,"Does the framework have a position on the ""repugnant conclusion""?",
204,PH,⬘⬘◯,██░,"Is adding new lives (via the regeneration assumption) good or neutral?",
205,PH,⬘⬘⬘,███,"How does this relate to total vs. average utilitarianism?",
206,PH,⬘⬘⬘,██░,"Does the framework favor extending existing lives or creating new ones?",
207,PH,⬘◯◯,█░░,"What is the framework's position on the non-identity problem?",
208,HE,⬘⬘⬘,███,"Why not just use standard discounted QALYs with a low discount rate?",
209,MA,⬘⬘⬘,███,"What discount rate would make discounted QALYs equivalent to QALY flow?",
210,HE,⬘⬘⬘,██░,"Does the framework make discounting obsolete?",
211,PH,⬘⬘◯,██░,"What if society genuinely has pure time preference?",
212,HE,⬘⬘◯,██░,"How does hyperbolic discounting fit into this framework?",
213,HE,⬘⬘◯,██░,"Can you combine QALY flow with some discounting?",
214,HE,⬘⬘⬘,███,"How does QALY flow relate to HALE (Health-Adjusted Life Expectancy)?",
215,HE,⬘⬘◯,██░,"Can QALY flow be computed from HALE data?",
216,PM,⬘⬘⬘,███,"What does QALY flow add beyond existing population health measures?",
217,HE,⬘⬘⬘,███,"Could you define a DALY flow analogous to QALY flow?",
218,HE,⬘⬘◯,██░,"How would the axioms change for burden-of-disease measurement?",
219,HE,⬘⬘◯,██░,"Does the Global Burden of Disease study use anything like this?",
220,PH,⬘◯◯,█░░,"How does this compare to the capability approach?",
221,HE,⬘⬘◯,██░,"What about wellbeing-adjusted life years (WELLBYs)?",
222,HE,⬘⬘◯,██░,"How does this relate to the ""health years equivalent"" concept?",
223,HE,⬘⬘◯,██░,"Is this compatible with multi-criteria decision analysis?",
224,HE,⬘⬘◯,██░,"What data would you need to implement this framework?",
225,HE,⬘⬘◯,██░,"Can this be estimated from existing health surveys?",
226,MA,⬘⬘◯,██░,"How do you estimate transition rates for very rare events?",
227,HE,⬘⬘◯,██░,"What longitudinal data sources would be most useful?",
228,MD,⬘⬘◯,██░,"Can electronic health records be used for calibration?",
229,HE,⬘⬘⬘,██░,"How do you calibrate the quality function q(x)?",
230,HE,⬘⬘⬘,██░,"What if different EQ-5D tariffs give different q values?",
231,HE,⬘⬘◯,██░,"How do you handle states not covered by existing instruments?",
232,PH,⬘⬘◯,█░░,"Should q be calibrated to community or patient preferences?",
233,HE,⬘⬘◯,██░,"How do you calibrate costs c(x,a)?",
234,HE,⬘◯◯,█░░,"How would you validate a QALY flow model?",
235,HE,⬘◯◯,█░░,"What would count as evidence that the framework works?",
236,HE,⬘⬘◯,██░,"Can you back-test against historical health data?",
237,MA,⬘⬘◯,██░,"How do you check that the model predicts out-of-sample?",
238,PM,⬘⬘◯,██░,"How would a regulator use this framework in practice?",
239,HE,⬘⬘◯,██░,"What would a QALY flow-based health technology assessment look like?",
240,PM,⬘⬘◯,██░,"How do you communicate QALY flow results to policymakers?",
241,MD,⬘⬘◯,██░,"Should patients understand QALY flow?",
242,PM,⬘⬘◯,██░,"How do you handle disagreement about model parameters?",
243,LE,⬘◯◯,█░░,"Is QALY flow compatible with existing health law?",
244,LE,⬘◯◯,█░░,"Could this framework be challenged on discrimination grounds?",
245,LE,⬘◯◯,█░░,"How does this interact with the right to health?",
246,LE,⬘◯◯,█░░,"What are the implications for insurance regulation?",
247,LE,⬘◯◯,█░░,"Could this affect clinical negligence standards?",
248,LE,⬘◯◯,█░░,"How would FDA/EMA evaluate drugs using this framework?",
249,LE,⬘◯◯,█░░,"Does this framework have implications for informed consent?",
250,LE,⬘◯◯,█░░,"How does it interact with age discrimination law?",
251,MD,⬘⬘◯,██░,"How would you apply this to cancer treatment evaluation?",
252,MD,⬘⬘◯,██░,"What about chronic disease management (diabetes, heart disease)?",
253,MD,⬘⬘◯,██░,"How does this apply to mental health conditions?",
254,MD,⬘⬘◯,██░,"What about rare diseases with uncertain prognosis?",
255,MD,⬘⬘◯,██░,"How would you evaluate aging interventions (senolytics, etc.)?",
256,MD,⬘⬘◯,██░,"What about organ replacement or regeneration?",
257,MD,⬘◯◯,█░░,"How would brain-computer interfaces be evaluated?",
258,HE,⬘⬘⬘,███,"How would you evaluate preventive vs. curative interventions?",
259,PM,⬘⬘⬘,██░,"What about public health interventions (vaccines, sanitation)?",
260,MD,⬘⬘◯,██░,"How would you evaluate lifestyle interventions?",
261,MD,⬘⬘◯,██░,"What about genetic therapies with permanent effects?",
262,MD,⬘⬘⬘,██░,"How would you evaluate palliative care?",
263,PH,⬘⬘⬘,███,"What if a treatment makes you immortal but paralyzed?",
264,HE,⬘⬘⬘,███,"What about treatments that extend lifespan but reduce quality?",
265,HE,⬘⬘⬘,███,"How do you evaluate a treatment that has a small chance of cure and a large chance of death?",
266,HE,⬘⬘⬘,███,"What about treatments that work for some people but not others?",
267,HE,⬘⬘⬘,███,"How do you handle treatments with very long lag times before benefit?",
268,HE,⬘⬘⬘,███,"Isn't this just discounting with r=0?",
269,PH,⬘⬘◯,█░░,"Why should we accept the axioms?",
270,HE,⬘⬘⬘,███,"Doesn't the regeneration assumption make this population-level not individual-level?",
271,MA,⬘⬘⬘,███,"What if the axioms are mutually inconsistent?",
272,MA,⬘⬘◯,██░,"Is there a representation theorem showing these axioms uniquely determine J(π)?",
273,MA,⬘⬘◯,██░,"What alternative objectives could satisfy the same axioms?",
274,PM,⬘⬘◯,██░,"Is this too complicated for real-world use?",
275,HE,⬘⬘◯,██░,"Doesn't this require too much data?",
276,MA,⬘⬘◯,██░,"How can you validate predictions about unbounded lifespans with finite data?",
277,PM,⬘⬘⬘,██░,"Isn't this premature given current life expectancy?",
278,PM,⬘⬘⬘,███,"What if longevity technology never arrives—is this framework still useful?",
279,PH,⬘⬘⬘,███,"Doesn't this devalue the lives of people who die young?",
280,PH,⬘⬘◯,██░,"Is it fair to evaluate policies based on an assumption most people alive today won't benefit from?",
281,PH,⬘⬘◯,██░,"Doesn't the person-time focus ignore individual rights?",
282,PH,⬘◯◯,█░░,"Is this a form of ""welfarist imperialism""?",
283,PH,⬘⬘⬘,███,"What about people who don't want extended lifespans?",
284,PH,⬘⬘◯,██░,"Does this framework respect diversity in conceptions of the good life?",
285,HE,⬘⬘◯,██░,"How would you extend this to multiple populations?",
286,HE,⬘⬘◯,██░,"Can the framework handle correlated individual outcomes (epidemics)?",
287,HE,⬘◯◯,█░░,"How would you model healthcare capacity constraints?",
288,MA,⬘◯◯,█░░,"Can this be extended to game-theoretic settings?",
289,MA,⬘◯◯,█░░,"How would you incorporate learning about treatment effects?",
290,MA,⬘◯◯,█░░,"Can the framework handle ambiguity (Knightian uncertainty)?",
291,HE,⬘⬘⬘,██░,"Should there be a ""second panel"" for unbounded-lifespan methodology?",
292,HE,⬘⬘◯,█░░,"What should guidelines for QALY flow analysis look like?",
293,HE,⬘⬘◯,██░,"How should uncertainty be reported in QALY flow analyses?",
294,HE,⬘◯◯,█░░,"What training would analysts need?",
295,HE,⬘⬘◯,█░░,"What empirical studies would most advance this agenda?",
296,MA,⬘⬘◯,█░░,"What theoretical results are most needed?",
297,HE,⬘◯◯,█░░,"What interdisciplinary work is required?",
298,PM,⬘◯◯,█░░,"How should this research be funded?",
299,GP,⬘⬘⬘,███,"Who is the intended audience for this paper?",
300,PM,⬘⬘◯,█░░,"What would it take to convince skeptics of this approach?",
301,PH,⬘⬘◯,██░,"What are the strongest arguments against this framework?",
302,MA,⬘⬘◯,██░,"What would falsify this framework?",
303,PH,⬘⬘⬘,███,"Is this framework normative or positive?",
304,GP,⬘◯◯,█░░,"What are the authors' own views that are not in the paper?",
305,HE,⬘⬘◯,██░,"What is the intellectual history of this idea?",
306,HE,⬘⬘⬘,███,"How does this relate to the work of Bauer, Lakdawalla, and Reif?",
307,MA,⬘⬘◯,██░,"What role did renewal-reward theory play in other fields before health economics?",
308,HE,⬘⬘◯,██░,"Are there any prior attempts at similar frameworks?",
309,PM,⬘⬘◯,█░░,"If this framework were adopted, how would it change health priorities?",
310,PM,⬘◯◯,█░░,"Would this increase or decrease health spending?",
311,PH,⬘⬘◯,██░,"Would this favor young or old patients?",
312,PM,⬘◯◯,█░░,"How would this affect the politics of health policy?",
313,LE,⬘⬘◯,██░,"Could this be used to justify rationing?",
314,PM,⬘◯◯,█░░,"What are the unintended consequences of adopting this framework?",
315,MD,⬘⬘◯,█░░,"Would this change incentives for medical research?",
316,MA,⬘⬘⬘,██░,"Can you provide an alternative proof of Proposition 1?",
317,MA,⬘⬘⬘,███,"What happens if we allow q(x) > 1 or q(x) < 0?",
318,MA,⬘⬘◯,██░,"Is boundedness preserved under the extensions (risk, irreversibility)?",
319,MA,⬘⬘⬘,███,"What is the proof of the renewal-reward theorem?",
320,MA,⬘⬘◯,██░,"Does the theorem extend to non-i.i.d. cycles?",
321,MA,⬘⬘◯,██░,"What are the weakest conditions under which the theorem holds?",
322,MA,⬘⬘◯,██░,"Is the convergence uniform over policies?",
323,MA,⬘⬘◯,██░,"Can you give a counterexample where the theorem fails?",
324,MA,⬘⬘⬘,███,"Is the proof of Theorem 2 complete as given?",
325,MA,⬘⬘◯,██░,"Can you extend to countable state spaces?",
326,MA,⬘⬘◯,██░,"What if some policies have undefined J(f)?",
327,MA,⬘⬘⬘,███,"Is the optimal policy unique?",
328,MA,⬘⬘◯,██░,"Is the Lipschitz bound tight? Can you achieve equality?",
329,MA,⬘⬘⬘,███,"What happens if Assumption 4 (lower bound m) is violated?",
330,MA,⬘◯◯,█░░,"Can you get Hölder continuity with weaker assumptions?",
331,MA,⬘⬘⬘,███,"How does the proof use the ratio structure of J(π)?",
332,MA,⬘⬘⬘,███,"What is the ""inspection paradox"" mentioned in the proof?",
333,MA,⬘⬘◯,██░,"How does this relate to Palm calculus?",
334,MA,⬘⬘◯,██░,"Can you make the convergence quantitative?",
335,PM,⬘⬘◯,██░,"If a policy gives J = 0.9 but K is very high, should we adopt it?",
336,PH,⬘⬘◯,██░,"Suppose two policies have the same J but different cycle length distributions—should we prefer one?",
337,PH,⬘⬘⬘,███,"What if a policy maximizes J but only for a privileged group?",
338,PH,⬘⬘◯,█░░,"Imagine a treatment that grants immortality but at quality 0.3—is it worth pursuing?",
339,PH,⬘⬘◯,█░░,"What if we could guarantee J = 1 for everyone at infinite cost—what's the right policy?",
340,MA,⬘⬘⬘,███,"Suppose cycle lengths become so long that no one ever completes a cycle—does the framework break?",
341,MA,⬘⬘⬘,███,"What if a treatment eliminates catastrophic failure entirely—what happens to the regeneration assumption?",
342,PH,⬘⬘◯,██░,"Imagine two societies with identical J but different distributions of cycle outcomes—which is better?",
343,PH,⬘⬘◯,█░░,"What if people could choose their own q function—should we let them?",
344,PH,⬘◯◯,█░░,"Suppose an alien civilization offers immortality but you must leave Earth—how do we evaluate?",
345,PH,⬘◯◯,█░░,"What if memory could be erased after each ""cycle""—does personal identity matter?",
346,PH,⬘⬘◯,██░,"Imagine a treatment that cures all disease but causes sterility—how do we evaluate with this framework?",
347,PH,⬘◯◯,█░░,"What if AI systems could experience quality-of-life—should they be in the framework?",
348,PM,⬘⬘◯,██░,"Suppose some people value extreme longevity and others don't—can one framework serve both?",
349,PH,⬘⬘◯,██░,"What if the quality function changes over time as society evolves—is J(π) still meaningful?",
350,PH,⬘⬘◯,█░░,"Imagine we discover death has positive externalities (new ideas from new people)—does this change anything?",
351,GP,⬘⬘⬘,██░,"What is the single most important takeaway from this paper?",
352,GP,⬘⬘◯,█░░,"What would the authors want readers to do after reading this?",
353,GP,⬘◯◯,█░░,"If you could ask the authors one question, what would it be?",
354,HE,⬘⬘◯,█░░,"What's missing from this paper that should be there?",
355,HE,⬘⬘◯,█░░,"What's the next paper that should be written following this one?",
356,GP,⬘◯◯,█░░,"In 50 years, will this paper be remembered? Why or why not?",
357,PM,⬘⬘◯,█░░,"What would change if this framework were universally adopted?",
358,PM,⬘⬘◯,██░,"What's the biggest obstacle to adoption?",
359,MA,⬘⬘◯,██░,"What would make this paper wrong?",
360,PM,⬘⬘◯,██░,"What would make this paper unnecessary?"
